=== RUN   TestWriteThroughPut
2025-02-28T20:51:58.664Z	info	/mydata/VictoriaMetrics-sketches/lib/memory/memory.go:42	limiting caches to 242618914406 bytes, leaving 161745942938 bytes to the OS according to -memory.allowedPercent=60
Threads: 64 ; Each thread handles 157 timeseries.
2025-02-28T20:52:05.269Z	info	/mydata/VictoriaMetrics-sketches/lib/storage/partition.go:199	creating a partition "1970_01" with smallPartsPath="/mydata/VictoriaMetrics-sketches/app/vminsert/common/BenchmarkCtxInsertThoughput/data/small/1970_01", bigPartsPath="/mydata/VictoriaMetrics-sketches/app/vminsert/common/BenchmarkCtxInsertThoughput/data/big/1970_01"
2025-02-28T20:52:05.310Z	info	/mydata/VictoriaMetrics-sketches/lib/storage/partition.go:208	partition "1970_01" has been created
throughput: 39600 1.0570194680455525e+06
throughput: 39700 1.0569849821827847e+06
throughput: 39800 1.0570616840455965e+06
throughput: 39900 1.056748730846967e+06
throughput: 40000 1.0567477080432656e+06
throughput: 40100 1.0567952688033008e+06
throughput: 40200 1.0568693829668155e+06
throughput: 40300 1.056398075006386e+06
throughput: 40400 1.055844212405766e+06
throughput: 40500 1.0559004811424648e+06
throughput: 40600 1.055995176441444e+06
throughput: 40700 1.0557391737540485e+06
throughput: 40800 1.0557970652002932e+06
throughput: 40900 1.0558947486636317e+06
throughput: 41000 1.055993331763645e+06
throughput: 41100 1.0558089513707415e+06
throughput: 41200 1.055798144770522e+06
throughput: 41300 1.0558728555695943e+06
throughput: 41400 1.055768370983304e+06
throughput: 41500 1.0558310067948198e+06
throughput: 41600 1.0559137906178685e+06
throughput: 41700 1.055989559309844e+06
throughput: 41800 1.055840230942152e+06
throughput: 41900 1.0549360239110107e+06
throughput: 42000 1.0550416962766654e+06
throughput: 42100 1.055117072559075e+06
throughput: 42200 1.0549457873107675e+06
throughput: 42300 1.055023415287393e+06
throughput: 42400 1.0550922144726778e+06
throughput: 42500 1.0551643829677838e+06
throughput: 42600 1.0550040247994887e+06
throughput: 42700 1.0550043864041732e+06
throughput: 42800 1.0551133676621183e+06
throughput: 42900 1.055166510276823e+06
throughput: 43000 1.0551200413052503e+06
throughput: 43100 1.0551666024480315e+06
throughput: 43200 1.0552377970958385e+06
throughput: 43300 1.05521734866359e+06
throughput: 43400 1.0547053274744593e+06
throughput: 43500 1.0546714704274568e+06
throughput: 43600 1.0547686755607096e+06
throughput: 43700 1.054704852608907e+06
throughput: 43800 1.0548008038578308e+06
throughput: 43900 1.054897158133977e+06
throughput: 44000 1.0549910189515008e+06
throughput: 44100 1.0548769209282415e+06
throughput: 44200 1.054952357958515e+06
throughput: 44300 1.0549857436402289e+06
throughput: 44400 1.055065005326207e+06
throughput: 44500 1.0548668430126226e+06
throughput: 44600 1.0549343787719975e+06
throughput: 44700 1.0550483218532938e+06
throughput: 44800 1.0551396625482405e+06
throughput: 44900 1.054939747577654e+06
throughput: 45000 1.0540619754930225e+06
throughput: 45100 1.0541787022040652e+06
throughput: 45200 1.0542531392921684e+06
throughput: 45300 1.054055768809084e+06
throughput: 45400 1.0541255765118643e+06
throughput: 45500 1.054242277019298e+06
throughput: 45600 1.0543385471514936e+06
throughput: 45700 1.0541543381415564e+06
throughput: 45800 1.0541684070542757e+06
throughput: 45900 1.0542818869350336e+06
throughput: 46000 1.0543890603096753e+06
throughput: 46100 1.0542090332539123e+06
throughput: 46200 1.0542796662678907e+06
throughput: 46300 1.054376556013792e+06
throughput: 46400 1.0545313259038255e+06
throughput: 46500 1.0543079302473555e+06
throughput: 46600 1.0543284769868944e+06
throughput: 46700 1.0544997546179646e+06
throughput: 46800 1.05469590932062e+06
throughput: 46900 1.0545022305543397e+06
